date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2005-06-25,"South Africa",France,27,13,"2005 France Tour of South Africa & Australia","EPRFU Stadium","Port Elizabeth","South Africa",False,False
2005-07-02,Australia,France,37,31,"2005 France Tour of South Africa & Australia","Suncorp Stadium",Brisbane,Australia,False,False
2005-11-05,France,Australia,26,16,"2005 Australia Tour of France, England, Ireland and Wales","Stade Velodrome",Marseille,France,False,False
2005-11-11,France,Canada,13,5,,,,,False,False
2005-11-11,France,Canada,29,0,,,,,False,False
2005-11-12,France,Canada,50,6,,"Stade de la Beaujoire",Nantes,France,False,False
2005-11-19,France,Tonga,43,8,,Stadium,Toulouse,France,False,False
2005-11-26,France,"South Africa",26,20,"2005 South Africa Tour of Argentina, France & Wales","Stade de France","St Denis",France,False,False
2006-02-05,Scotland,France,20,16,"2006 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2006-02-11,France,Ireland,43,31,"2006 Six Nations","Stade de France","St Denis",France,False,False
2006-02-25,France,Italy,37,12,"2006 Six Nations","Stade de France","St Denis",France,False,False
2006-03-12,France,England,31,6,"2006 Six Nations","Stade de France","St Denis",France,False,False
2006-03-18,Wales,France,16,21,"2006 Six Nations","Millennium Stadium",Cardiff,Wales,False,False
2006-06-17,Romania,France,14,62,"2006 France Tour of Romania & South Africa","Stadionul Giulesti",Bucuresti,Romania,False,False
2006-06-24,"South Africa",France,26,36,"2006 France Tour of Romania & South Africa","Newlands Stadium","Cape Town","South Africa",False,False
2006-11-11,France,"New Zealand",3,47,"2006 New Zealand Tour of England, France & Wales","Stade de Gerland",Lyon,France,False,False
2006-11-18,France,"New Zealand",11,23,"2006 New Zealand Tour of England, France & Wales","Stade de France","St Denis",France,False,False
2006-11-25,France,Argentina,27,26,"2006 Argentina Tour of England, Italy & France","Stade de France","St Denis",France,False,False
2007-02-03,Italy,France,3,39,"2007 Six Nations","Stadio Flaminio",Roma,Italy,False,False
2007-02-11,Ireland,France,17,20,"2007 Six Nations","Croke Park",Dublin,Ireland,False,False
2007-02-24,France,Wales,32,21,"2007 Six Nations","Stade de France","St Denis",France,False,False
2007-03-11,England,France,26,18,"2007 Six Nations",Twickenham,London,England,False,False
2007-03-17,France,Scotland,46,19,"2007 Six Nations","Stade de France","St Denis",France,False,False
2007-04-28,France,Sweden,12,0,,,,,False,False
2007-04-30,France,Netherlands,27,8,,,,,False,False
2007-05-02,France,Wales,17,10,,,,,False,False
2007-05-05,England,France,27,17,,,,,False,False
2007-06-02,"New Zealand",France,42,11,"2007 France Tour of New Zealand","Eden Park",Auckland,"New Zealand",False,False
2007-06-09,"New Zealand",France,61,10,"2007 France Tour of New Zealand","Westpac Trust Stadium",Wellington,"New Zealand",False,False
2007-08-11,England,France,15,21,,Twickenham,London,England,False,False
2007-08-18,France,England,22,9,,"Stade Velodrome",Marseille,France,False,False
2007-08-26,Wales,France,7,34,,"Millennium Stadium",Cardiff,Wales,False,False
2007-09-07,France,Argentina,12,17,"Rugby World Cup 2007","Stade de France","St Denis",France,False,True
2007-09-16,France,Namibia,87,10,"Rugby World Cup 2007",Stadium,Toulouse,France,False,True
2007-09-21,France,Ireland,25,3,"Rugby World Cup 2007","Stade de France","St Denis",France,False,True
2007-09-30,France,Georgia,64,7,"Rugby World Cup 2007","Stade Velodrome",Marseille,France,False,True
2007-10-06,"New Zealand",France,18,20,"Rugby World Cup 2007","Millennium Stadium",Cardiff,Wales,False,True
2007-10-13,England,France,14,9,"Rugby World Cup 2007","Stade de France","St Denis",France,False,True
2007-10-19,France,Argentina,10,34,"Rugby World Cup 2007","Parc des Princes",Paris,France,False,True
2008-02-03,Scotland,France,6,27,"2008 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2008-02-09,France,Ireland,26,21,"2008 Six Nations","Stade de France","St Denis",France,False,False
2008-02-23,France,England,13,24,"2008 Six Nations","Stade de France","St Denis",France,False,False
2008-03-09,France,Italy,25,13,"2008 Six Nations","Stade de France","St Denis",France,False,False
2008-03-15,Wales,France,29,12,"2008 Six Nations","Millennium Stadium",Cardiff,Wales,False,False
2008-05-17,Netherlands,France,3,24,,,,,False,False
2008-05-20,France,Wales,10,18,,,,,False,False
