date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1950-01-14,Scotland,France,8,5,"1950 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1950-01-28,France,Ireland,3,3,"1950 Five Nations","Stade Colombes",Paris,France,False,False
1950-02-25,France,England,6,3,"1950 Five Nations","Stade Colombes",Paris,France,False,False
1950-03-25,Wales,France,21,0,"1950 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1951-01-13,France,Scotland,14,12,"1951 Five Nations","Stade Colombes",Paris,France,False,False
1951-01-27,Ireland,France,9,8,"1951 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1951-02-24,England,France,3,11,"1951 Five Nations",Twickenham,London,England,False,False
1951-04-07,France,Wales,8,3,"1951 Five Nations","Stade Colombes",Paris,France,False,False
1952-01-12,Scotland,France,11,13,"1952 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1952-01-26,France,Ireland,8,11,"1952 Five Nations","Stade Colombes",Paris,France,False,False
1952-02-16,France,"South Africa",3,25,"1951 South Africa Tour of UK & France","Stade Colombes",Paris,France,False,False
1952-03-22,Wales,France,9,5,"1952 Five Nations","St Helen's",Swansea,Wales,False,False
1952-04-05,France,England,3,6,"1952 Five Nations","Stade Colombes",Paris,France,False,False
1952-05-17,Italy,France,8,17,,,,,False,False
1953-01-10,France,Scotland,11,5,"1953 Five Nations","Stade Colombes",Paris,France,False,False
1953-01-24,Ireland,France,16,3,"1953 Five Nations",Ravenhill,Belfast,"Northern Ireland",False,False
1953-02-28,England,France,11,0,"1953 Five Nations",Twickenham,London,England,False,False
1953-03-28,France,Wales,3,6,"1953 Five Nations","Stade Colombes",Paris,France,False,False
1953-04-26,France,Italy,22,8,,,,,False,False
1954-01-09,Scotland,France,0,3,"1954 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1954-01-23,France,Ireland,8,0,"1954 Five Nations","Stade Colombes",Paris,France,False,False
1954-02-27,France,"New Zealand",3,0,"1953 New Zealand Tour of British Isles, France, Canada & California","Stade Colombes",Paris,France,False,False
1954-03-27,Wales,France,19,13,"1954 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1954-04-10,France,England,11,3,"1954 Five Nations","Stade Colombes",Paris,France,False,False
1954-04-21,Spain,France,28,45,,"Campo 'Las Cortas'",Barcelona,Spain,False,False
1954-04-24,Italy,France,12,39,"1954 Europe Cup",,,,False,False
1954-08-29,Argentina,France,8,22,,"Gimnasia y Esgrima de Buenos Aires","Buenos Aires",Argentina,False,False
1954-09-12,Argentina,France,3,30,,"Gimnasia y Esgrima de Buenos Aires","Buenos Aires",Argentina,False,False
1954-09-18,Chile,France,3,42,,"Stade Français",Santiago,Chile,False,False
1955-01-08,France,Scotland,15,0,"1955 Five Nations","Stade Colombes",Paris,France,False,False
1955-01-22,Ireland,France,3,5,"1955 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1955-02-26,England,France,9,16,"1955 Five Nations",Twickenham,London,England,False,False
1955-03-26,France,Wales,11,16,"1955 Five Nations","Stade Colombes",Paris,France,False,False
1955-04-10,France,Italy,24,0,,,,,False,False
1955-04-25,France,Spain,50,6,,"Stade Municipal",Limoges,France,False,False
1955-07-21,France,Italy,16,8,,,,,False,False
1955-07-24,Spain,France,6,45,"1955 Mediterranean Games","Estadi Municipal Foixarda",Barcelona,Spain,False,False
1956-01-14,Scotland,France,12,0,"1956 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1956-01-28,France,Ireland,14,8,"1956 Five Nations","Stade Colombes",Paris,France,False,False
1956-03-24,Wales,France,5,3,"1956 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1956-03-25,Spain,France,3,42,,"Campo de Vallejo",Valencia,Spain,False,False
1956-04-02,Italy,France,3,16,,,,,False,False
1956-04-14,France,England,14,9,"1956 Five Nations","Stade Colombes",Paris,France,False,False
1956-12-16,France,Czechoslovakia,28,3,,,,,False,False
1957-01-12,France,Scotland,0,6,"1957 Five Nations","Stade Colombes",Paris,France,False,False
1957-01-26,Ireland,France,11,6,"1957 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1957-02-23,England,France,9,5,"1957 Five Nations",Twickenham,London,England,False,False
1957-03-23,France,Wales,13,19,"1957 Five Nations","Stade Colombes",Paris,France,False,False
1957-04-21,France,Italy,38,6,,,,,False,False
1957-05-19,Romania,France,15,18,,"Stadionul 23 August",Bucuresti,Romania,False,False
1957-08-03,Czechoslovakia,France,19,38,,,,,False,False
1957-10-06,Czechoslovakia,France,3,30,,,,,False,False
1957-12-15,France,Romania,39,0,,,,,False,False
1958-01-11,Scotland,France,11,9,"1958 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1958-03-01,France,England,0,14,"1958 Five Nations","Stade Colombes",Paris,France,False,False
1958-03-09,France,Australia,19,0,"1957 Australia Tour of UK & France","Stade Colombes",Paris,France,False,False
1958-03-29,Wales,France,6,16,"1958 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1958-04-07,Italy,France,3,11,,,,,False,False
1958-04-19,France,Ireland,11,6,"1958 Five Nations","Stade Colombes",Paris,France,False,False
1958-07-12,Rhodesia,France,0,19,"1958 France Tour of South Africa","Police Ground",Salisbury,Zimbabwe,False,False
1958-07-16,"Northern & Western Transvaal",France,19,18,"1958 France Tour of South Africa","Loftus Versfeld",Pretoria,"South Africa",False,False
1958-07-19,"Eastern Transvaal / Natal / Transvaal",France,14,16,"1958 France Tour of South Africa","PAM Brink Stadium",Springs,"South Africa",False,False
1958-07-22,"Free State / Griqualand West / South West Africa",France,11,11,"1958 France Tour of South Africa","Free State Stadium",Bloemfontein,"South Africa",False,False
1958-07-26,"South Africa",France,3,3,"1958 France Tour of South Africa","Newlands Stadium","Cape Town","South Africa",False,False
1958-07-30,"Western Province / South Western Districts / Boland",France,38,8,"1958 France Tour of South Africa",,,,False,False
1958-08-02,"Junior Springboks",France,9,5,"1958 France Tour of South Africa","Crusader Ground","Port Elizabeth","South Africa",False,False
1958-08-06,"Border /  Eastern Province / North Eastern Districts",France,9,16,"1958 France Tour of South Africa","Border Ground","East London","South Africa",False,False
1958-08-09,"South African Universities",France,16,32,"1958 France Tour of South Africa",Kingsmead,Durban,"South Africa",False,False
1958-08-16,"South Africa",France,5,9,"1958 France Tour of South Africa","Ellis Park",Johannesburg,"South Africa",False,False
1959-01-10,France,Scotland,9,0,"1959 Five Nations","Stade Colombes",Paris,France,False,False
1959-02-28,England,France,3,3,"1959 Five Nations",Twickenham,London,England,False,False
1959-03-29,France,Italy,22,0,,"Stade Marcel Saupin",Nantes,France,False,False
1959-04-04,France,Wales,11,3,"1959 Five Nations","Stade Colombes",Paris,France,False,False
1959-04-18,Ireland,France,9,5,"1959 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1960-01-09,Scotland,France,11,13,"1960 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1960-02-27,France,England,3,3,"1960 Five Nations","Stade Colombes",Paris,France,False,False
1960-03-26,Wales,France,8,16,"1960 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1960-04-09,France,Ireland,23,6,"1960 Five Nations","Stade Colombes",Paris,France,False,False
1960-04-17,Italy,France,0,26,,,,,False,False
1960-06-05,Romania,France,11,5,,,,,False,False
1960-07-23,Argentina,France,3,37,"1960 France Tour of Argentina","Gimnasia y Esgrima de Buenos Aires","Buenos Aires",Argentina,False,False
1960-08-01,Chile,France,12,55,,"Stade Français",Santiago,Chile,False,False
1960-08-06,Argentina,France,3,12,"1960 France Tour of Argentina","Gimnasia y Esgrima de Buenos Aires","Buenos Aires",Argentina,False,False
1960-08-17,Argentina,France,6,29,"1960 France Tour of Argentina","Gimnasia y Esgrima de Buenos Aires","Buenos Aires",Argentina,False,False
1960-08-20,Uruguay,France,0,61,,"Carrasco Polo Club",Montevideo,Uruguay,False,False
1961-01-07,France,Scotland,11,0,"1961 Five Nations","Stade Colombes",Paris,France,False,False
1961-02-18,France,"South Africa",0,0,"1960 South Africa Tour of UK & France","Stade Colombes",Paris,France,False,False
1961-02-25,England,France,5,5,"1961 Five Nations",Twickenham,London,England,False,False
1961-03-25,France,Wales,8,6,"1961 Five Nations","Stade Colombes",Paris,France,False,False
1961-04-02,France,Italy,17,0,,,,,False,False
1961-04-15,Ireland,France,3,15,"1961 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1961-07-08,"Nelson Bays / Marlborough / Golden Bay / Motueka",France,11,29,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-07-12,Taranaki,France,9,11,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-07-15,Waikato,France,22,3,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-07-18,"North Auckland",France,8,6,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-07-22,"New Zealand",France,13,6,"1961 France Tour of New Zealand & Australia","Eden Park",Auckland,"New Zealand",False,False
1961-07-26,"Bay of Plenty",France,9,22,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-07-29,"New Zealand Maori",France,5,3,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-08-01,Manawatu,France,6,21,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-08-05,"New Zealand",France,5,3,"1961 France Tour of New Zealand & Australia","Athletic Park",Wellington,"New Zealand",False,False
1961-08-09,Southland,France,6,14,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-08-12,Otago,France,6,15,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-08-15,"South Canterbury",France,17,14,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-08-19,"New Zealand",France,32,3,"1961 France Tour of New Zealand & Australia","Lancaster Park",Christchurch,"New Zealand",False,False
1961-08-23,Queensland,France,12,15,"1961 France Tour of New Zealand & Australia",,,,False,False
1961-08-26,Australia,France,8,15,"1961 France Tour of New Zealand & Australia","Sydney Cricket Ground",Sydney,Australia,False,False
1961-11-12,France,Romania,5,5,,,,,False,False
1962-01-13,Scotland,France,3,11,"1962 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1962-02-24,France,England,13,0,"1962 Five Nations","Stade Colombes",Paris,France,False,False
1962-03-24,Wales,France,3,0,"1962 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1962-04-14,France,Ireland,11,0,"1962 Five Nations","Stade Colombes",Paris,France,False,False
1962-04-22,Italy,France,3,6,,,,,False,False
1962-11-11,Romania,France,3,0,,"Stadionul 23 August",Bucuresti,Romania,False,False
1963-01-12,France,Scotland,6,11,"1963 Five Nations","Stade Colombes",Paris,France,False,False
1963-01-26,Ireland,France,5,24,"1963 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1963-02-23,England,France,6,5,"1963 Five Nations",Twickenham,London,England,False,False
1963-03-23,France,Wales,5,3,"1963 Five Nations","Stade Colombes",Paris,France,False,False
1963-04-13,France,Italy,14,12,,,,,False,False
1963-12-15,France,Romania,6,6,,Stadium,Toulouse,France,False,False
1964-01-04,Scotland,France,10,0,"1964 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1964-02-08,France,"New Zealand",3,12,"1963 New Zealand Tour of UK, France & Canada","Stade Colombes",Paris,France,False,False
1964-02-22,France,England,3,6,"1964 Five Nations","Stade Colombes",Paris,France,False,False
1964-03-21,Wales,France,11,11,"1964 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1964-03-29,Italy,France,3,12,,,,,False,False
1964-04-11,France,Ireland,27,6,"1964 Five Nations","Stade Colombes",Paris,France,False,False
1964-07-11,Rhodesia,France,11,34,"1964 France Tour of South Africa","Police Ground",Salisbury,Zimbabwe,False,False
1964-07-15,"Griqualand West",France,3,29,"1964 France Tour of South Africa","de Beers Stadium",Kimberley,"South Africa",False,False
1964-07-18,"Western Province",France,20,11,"1964 France Tour of South Africa","Newlands Stadium","Cape Town","South Africa",False,False
1964-07-21,Border,France,6,14,"1964 France Tour of South Africa","Border Ground","East London","South Africa",False,False
1964-07-25,"South Africa",France,6,8,"1964 France Tour of South Africa","PAM Brink Stadium",Springs,"South Africa",False,False
1964-07-29,Transvaal,France,9,21,"1964 France Tour of South Africa","Ellis Park",Johannesburg,"South Africa",False,False
1964-10-17,France,Fiji,21,3,"1964 Fiji Tour of Wales, France & Canada","Stade Colombes",Paris,France,False,False
1964-11-29,Romania,France,6,9,,,,,False,False
1965-01-09,France,Scotland,16,8,"1965 Five Nations","Stade Colombes",Paris,France,False,False
1965-01-23,Ireland,France,3,3,"1965 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1965-02-27,England,France,9,6,"1965 Five Nations",Twickenham,London,England,False,False
1965-03-27,France,Wales,22,13,"1965 Five Nations","Stade Colombes",Paris,France,False,False
1965-04-18,France,Italy,21,0,,,,,False,False
1965-11-28,France,Romania,8,3,"1965 Federation Internationale de Rugby Amateur Championship",,,,False,False
1966-01-15,Scotland,France,3,3,"1966 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1966-01-29,France,Ireland,11,6,"1966 Five Nations","Stade Colombes",Paris,France,False,False
1966-02-26,France,England,13,0,"1966 Five Nations","Stade Colombes",Paris,France,False,False
1966-03-26,Wales,France,9,8,"1966 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1966-04-09,Italy,France,0,21,,,,,False,False
1966-05-08,Czechoslovakia,France,12,36,,,,,False,False
1966-11-27,Romania,France,3,9,"1966 Federation Internationale de Rugby Amateur Championship","Stadionul Republicii",Bucuresti,Romania,False,False
1967-01-14,France,Scotland,8,9,"1967 Five Nations","Stade Colombes",Paris,France,False,False
1967-02-11,France,Australia,20,14,"1966 Australia Tour of UK & France","Stade Colombes",Paris,France,False,False
1967-02-25,England,France,12,16,"1967 Five Nations",Twickenham,London,England,False,False
1967-03-26,France,Italy,60,13,,,,,False,False
1967-04-01,France,Wales,20,14,"1967 Five Nations","Stade Colombes",Paris,France,False,False
1967-04-15,Ireland,France,6,11,"1967 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1967-05-14,Portugal,France,14,56,"1967 Federation Internationale de Rugby Amateur Championship","Stadium Tapadinho",Lisbon,Portugal,False,False
1967-07-15,"South Africa",France,26,3,"1967 France Tour of South Africa","King's Park",Durban,"South Africa",False,False
1967-07-22,"South Africa",France,16,3,"1967 France Tour of South Africa","Free State Stadium",Bloemfontein,"South Africa",False,False
1967-07-29,"South Africa",France,14,19,"1967 France Tour of South Africa","Ellis Park",Johannesburg,"South Africa",False,False
1967-08-12,"South Africa",France,6,6,"1967 France Tour of South Africa","Newlands Stadium","Cape Town","South Africa",False,False
1967-11-25,France,"New Zealand",15,21,"1967 New Zealand Tour of Canada, British Isles & France","Stade Colombes",Paris,France,False,False
1967-12-10,France,Romania,11,3,"1967 Federation Internationale de Rugby Amateur Championship","Stade Marcel Saupin",Nantes,France,False,False
1968-01-13,Scotland,France,6,8,"1968 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1968-01-27,France,Ireland,16,6,"1968 Five Nations","Stade Colombes",Paris,France,False,False
1968-02-24,France,England,14,9,"1968 Five Nations","Stade Colombes",Paris,France,False,False
1968-03-23,Wales,France,9,14,"1968 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1968-05-05,Czechoslovakia,France,6,19,,,,,False,False
1968-07-03,Marlborough,France,24,19,"1968 France Tour of New Zealand & Australia","Lansdowne Park",Blenheim,"New Zealand",False,False
1968-07-06,Otago,France,6,12,"1968 France Tour of New Zealand & Australia",Carisbrook,Dunedin,"New Zealand",False,False
1968-07-09,Southland,France,6,8,"1968 France Tour of New Zealand & Australia","Rugby Park",Invercargill,"New Zealand",False,False
1968-07-13,"New Zealand",France,12,9,"1968 France Tour of New Zealand & Australia","Lancaster Park",Christchurch,"New Zealand",False,False
1968-07-17,Taranaki,France,6,21,"1968 France Tour of New Zealand & Australia","Rugby Park","New Plymouth","New Zealand",False,False
1968-07-20,"Hawke's Bay",France,12,16,"1968 France Tour of New Zealand & Australia","McLean Park",Napier,"New Zealand",False,False
1968-07-23,Manawatu,France,3,8,"1968 France Tour of New Zealand & Australia","Showgrounds Oval","Palmerston North","New Zealand",False,False
1968-07-27,"New Zealand",France,9,3,"1968 France Tour of New Zealand & Australia","Athletic Park",Wellington,"New Zealand",False,False
1968-07-31,"King Country",France,9,23,"1968 France Tour of New Zealand & Australia","The Domain",Taumarunui,"New Zealand",False,False
1968-08-03,"North Auckland",France,6,10,"1968 France Tour of New Zealand & Australia","Okara Park",Whangarei,"New Zealand",False,False
1968-08-06,Waikato,France,8,13,"1968 France Tour of New Zealand & Australia","Rugby Park",Hamilton,"New Zealand",False,False
1968-08-10,"New Zealand",France,19,12,"1968 France Tour of New Zealand & Australia","Eden Park",Auckland,"New Zealand",False,False
1968-08-13,Queensland,France,11,31,"1968 France Tour of New Zealand & Australia",,,,False,False
1968-08-17,Australia,France,11,10,"1968 France Tour of New Zealand & Australia","Sydney Cricket Ground",Sydney,Australia,False,False
1968-11-09,France,"South Africa",9,12,"1968 South Africa Tour of France","Stade Municipal",Bordeaux,France,False,False
1968-11-16,France,"South Africa",11,16,"1968 South Africa Tour of France","Stade Colombes",Paris,France,False,False
1968-12-01,Romania,France,15,14,"1968 Federation Internationale de Rugby Amateur Championship","Stadionul 23 August",Bucuresti,Romania,False,False
1969-01-11,France,Scotland,3,6,"1969 Five Nations","Stade Colombes",Paris,France,False,False
1969-01-25,Ireland,France,17,9,"1969 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1969-02-22,England,France,22,8,"1969 Five Nations",Twickenham,London,England,False,False
1969-03-22,France,Wales,8,8,"1969 Five Nations","Stade Colombes",Paris,France,False,False
1969-04-27,France,Czechoslovakia,34,14,,,,,False,False
1969-11-09,Italy,France,8,22,"1969 Federation Internationale de Rugby Amateur Championship",,,,False,False
1969-12-14,France,Romania,14,9,"1969 Federation Internationale de Rugby Amateur Championship",,,,False,False
1970-01-10,Scotland,France,9,11,"1970 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1970-01-11,Spain,France,6,58,,"Ciudad Universitaria",Madrid,Spain,False,False
1970-01-24,France,Ireland,8,0,"1970 Five Nations","Stade Colombes",Paris,France,False,False
1970-04-04,Wales,France,11,6,"1970 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1970-04-18,France,England,35,13,"1970 Five Nations","Stade Colombes",Paris,France,False,False
1970-05-03,Czechoslovakia,France,6,53,,,,,False,False
1970-11-29,Romania,France,3,14,"1970 Federation Internationale de Rugby Amateur Championship","Stadionul 23 August",Bucuresti,Romania,False,False
1970-12-20,Morocco,France,3,60,,,,,False,False
1971-01-16,France,Scotland,13,8,"1971 Five Nations","Stade Colombes",Paris,France,False,False
1971-01-30,Ireland,France,9,9,"1971 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1971-02-27,England,France,14,14,"1971 Five Nations",Twickenham,London,England,False,False
1971-02-28,France,Italy,37,13,"1971 Federation Internationale de Rugby Amateur Championship",,,,False,False
1971-03-27,France,Wales,5,9,"1971 Five Nations","Stade Colombes",Paris,France,False,False
1971-05-22,"Eastern Transvaal",France,13,22,"1971 France Tour of South Africa",,,,False,False
1971-05-26,"Western Transvaal",France,0,50,"1971 France Tour of South Africa",,,,False,False
1971-05-29,Transvaal,France,14,20,"1971 France Tour of South Africa",,,,False,False
1971-05-31,Border,France,6,30,"1971 France Tour of South Africa",,,,False,False
1971-06-05,"Western Province",France,6,21,"1971 France Tour of South Africa",,,,False,False
1971-06-08,"South West Africa",France,6,35,"1971 France Tour of South Africa",,,,False,False
1971-06-12,"South Africa",France,22,9,"1971 France Tour of South Africa","Free State Stadium",Bloemfontein,"South Africa",False,False
1971-06-15,"North Eastern Cape",France,17,33,"1971 France Tour of South Africa",,,,False,False
1971-06-19,"South Africa",France,8,8,"1971 France Tour of South Africa","King's Park",Durban,"South Africa",False,False
1971-11-20,France,Australia,11,13,"1971 Australia Tour of France","Stade des Ponts Jumeaux",Toulouse,France,False,False
1971-11-27,France,Australia,18,9,"1971 Australia Tour of France","Stade Colombes",Paris,France,False,False
1971-12-11,France,Romania,31,12,"1971 Federation Internationale de Rugby Amateur Championship","Parc Sauclieres",Béziers,France,False,False
1972-01-15,Scotland,France,20,9,"1972 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1972-01-29,France,Ireland,9,14,"1972 Five Nations","Stade Colombes",Paris,France,False,False
1972-01-30,Morocco,France,3,72,,,,,False,False
1972-02-26,France,England,37,12,"1972 Five Nations","Stade Colombes",Paris,France,False,False
1972-03-25,Wales,France,20,6,"1972 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1972-04-23,France,Czechoslovakia,68,3,,,,,False,False
1972-04-29,Ireland,France,24,14,,"Lansdowne Road",Dublin,Ireland,False,False
1972-06-17,Australia,France,14,14,,"Sydney Cricket Ground",Sydney,Australia,False,False
1972-06-25,Australia,France,15,16,,Ballymore,Brisbane,Australia,False,False
1972-11-26,Romania,France,6,15,"1972 Federation Internationale de Rugby Amateur Championship","Stadionul 1st May",Constanta,Romania,False,False
1973-01-13,France,Scotland,16,13,"1973 Five Nations","Parc des Princes",Paris,France,False,False
1973-02-10,France,"New Zealand",13,6,"1972 New Zealand Tour of Canada, USA, UK & France","Parc des Princes",Paris,France,False,False
1973-02-24,England,France,14,6,"1973 Five Nations",Twickenham,London,England,False,False
1973-03-03,France,Morocco,73,6,,,,,False,False
1973-03-24,France,Wales,12,3,"1973 Five Nations","Parc des Princes",Paris,France,False,False
1973-04-14,Ireland,France,6,4,"1973 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1973-06-03,Spain,France,23,30,,"Estadi Municipal Foixarda",Barcelona,Spain,False,False
1973-10-27,France,Japan,30,18,"1973 Japan Tour of Wales, England & France",,,,False,False
1973-11-11,France,Romania,7,6,"1973 Federation Internationale de Rugby Amateur Championship",,,,False,False
1974-01-19,France,Ireland,9,6,"1974 Five Nations","Parc des Princes",Paris,France,False,False
1974-02-16,Wales,France,16,16,"1974 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1974-03-02,France,England,12,12,"1974 Five Nations","Parc des Princes",Paris,France,False,False
1974-03-10,France,Morocco,54,3,,,,,False,False
1974-03-16,Scotland,France,19,6,"1974 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1974-04-28,Spain,France,7,15,,"Ciudad Universitaria",Madrid,Spain,False,False
1974-06-20,Argentina,France,15,20,"1974 France Tour of Argentina","Ferro Carril Oeste Stadium","Buenos Aires",Argentina,False,False
1974-06-29,Argentina,France,27,31,"1974 France Tour of Argentina","Ferro Carril Oeste Stadium","Buenos Aires",Argentina,False,False
1974-10-13,Romania,France,15,10,"1974 Federation Internationale de Rugby Amateur Championship","Stadionul 23 August",Bucuresti,Romania,False,False
1974-11-23,France,"South Africa",4,13,"1974 South Africa Tour of France",Stadium,Toulouse,France,False,False
1974-11-30,France,"South Africa",8,10,"1974 South Africa Tour of France","Parc des Princes",Paris,France,False,False
1974-12-15,France,Czechoslovakia,36,3,"1974 Federation Internationale de Rugby Amateur Championship",,,,False,False
1975-01-18,France,Wales,10,25,"1975 Five Nations","Parc des Princes",Paris,France,False,False
1975-02-01,England,France,20,27,"1975 Five Nations",Twickenham,London,England,False,False
1975-02-02,France,Spain,46,3,,,,,False,False
1975-02-15,France,Scotland,10,9,"1975 Five Nations","Parc des Princes",Paris,France,False,False
1975-02-15,Italy,France,9,16,,,,,False,False
1975-03-01,Ireland,France,25,6,"1975 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1975-05-31,"Natal Sharks",France,18,34,"1975 France Tour of South Africa",,,,False,False
1975-06-02,"South Africa African XV",France,9,34,"1975 France Tour of South Africa",,,,False,False
1975-06-04,"South African Coloured XV",France,3,37,"1975 France Tour of South Africa",,,,False,False
1975-06-07,"South Africa Invitation XV",France,18,3,"1975 France Tour of South Africa",,,,False,False
1975-06-09,"South Western Districts",France,6,44,"1975 France Tour of South Africa",,,,False,False
1975-06-11,"Eastern Province",France,9,18,"1975 France Tour of South Africa",,,,False,False
1975-06-14,Transvaal,France,28,22,"1975 France Tour of South Africa",,,,False,False
1975-06-17,"South West Africa",France,13,13,"1975 France Tour of South Africa",,,,False,False
1975-06-21,"South Africa",France,38,25,"1975 France Tour of South Africa","Free State Stadium",Bloemfontein,"South Africa",False,False
1975-06-24,"North Eastern Cape",France,15,34,"1975 France Tour of South Africa",,,,False,False
1975-06-28,"South Africa",France,33,18,"1975 France Tour of South Africa","Loftus Versfeld",Pretoria,"South Africa",False,False
1975-10-19,France,Argentina,29,6,"1975 Argentina Tour of France","Stade de Gerland",Lyon,France,False,False
1975-10-25,France,Argentina,36,21,"1975 Argentina Tour of France","Parc des Princes",Paris,France,False,False
1975-11-23,France,Romania,36,12,"1975 Federation Internationale de Rugby Amateur Championship","Stade Municipal",Bordeaux,France,False,False
1976-01-10,Scotland,France,6,13,"1975 Five Nations",Murrayfield,Edinburgh,Scotland,False,False
1976-02-07,France,Ireland,26,3,"1975 Five Nations","Parc des Princes",Paris,France,False,False
1976-02-07,Italy,France,11,23,,,,,False,False
1976-02-28,Spain,France,0,36,,"Ciudad Universitaria",Madrid,Spain,False,False
1976-03-06,Wales,France,19,13,"1975 Five Nations","Cardiff Arms Park",Cardiff,Wales,False,False
1976-03-20,France,England,30,9,"1975 Five Nations","Parc des Princes",Paris,France,False,False
1976-06-06,"Eastern Union",France,12,16,"1976 France Tour of USA",,,,False,False
1976-06-09,"New York Selection",France,7,71,"1976 France Tour of USA",,,,False,False
1976-06-12,USA,France,14,33,"1976 France Tour of USA",,,,False,False
1976-10-24,France,Australia,18,15,"1976 Australia Tour of France & Italy","Stade Municipal",Bordeaux,France,False,False
1976-10-30,France,Australia,34,6,"1976 Australia Tour of France & Italy","Parc des Princes",Paris,France,False,False
1976-11-14,Romania,France,15,12,"1976 Federation Internationale de Rugby Amateur Championship","Stadionul Giulesti",Bucuresti,Romania,False,False
1976-12-05,France,Spain,28,21,"1976 Federation Internationale de Rugby Amateur Championship",,,,False,False
1977-02-05,France,Wales,16,9,"1977 Five Nations","Parc des Princes",Paris,France,False,False
1977-02-06,France,Italy,10,3,,,,,False,False
1977-02-19,England,France,3,4,"1977 Five Nations",Twickenham,London,England,False,False
1977-02-20,France,Germany,50,3,,,,,False,False
1977-03-05,France,Scotland,23,3,"1977 Five Nations","Parc des Princes",Paris,France,False,False
1977-03-19,Ireland,France,6,15,"1977 Five Nations","Lansdowne Road",Dublin,Ireland,False,False
1977-03-20,Morocco,France,0,69,,,,,False,False
1977-06-04,France,Romania,9,6,"1977 Federation Internationale de Rugby Amateur Championship","Parc des Princes",Paris,France,False,False
1977-06-11,"Buenos Aires",France,0,0,"1977 France Tour of Argentina",,,,False,False
1977-06-15,"Interior Selection",France,0,0,"1977 France Tour of Argentina",,,,False,False
1977-06-18,"Combined Clubs XV",France,0,0,"1977 France Tour of Argentina",,,,False,False
1977-06-22,Cuyo,France,0,0,"1977 France Tour of Argentina",,,,False,False
1977-06-25,Argentina,France,3,26,"1977 France Tour of Argentina","Ferro Carril Oeste Stadium","Buenos Aires",Argentina,False,False
1977-06-28,"Santa Fé",France,0,0,"1977 France Tour of Argentina",,,,False,False
1977-07-02,Argentina,France,18,18,"1977 France Tour of Argentina","Ferro Carril Oeste Stadium","Buenos Aires",Argentina,False,False
1977-10-02,France,Czechoslovakia,63,0,"1977 Federation Internationale de Rugby Amateur Championship",,,,False,False
1977-11-11,France,"New Zealand",18,13,"1977 New Zealand Tour of Italy & France",Stadium,Toulouse,France,False,False
1977-11-19,France,"New Zealand",3,15,"1977 New Zealand Tour of Italy & France","Parc des Princes",Paris,France,False,False
1977-12-10,France,Romania,9,6,"1977 Federation Internationale de Rugby Amateur Championship",,,,False,False
